,timestamp,count,in_china
10688,2016-09-07,107,1
10689,2016-09-07,105,1
10690,2016-09-07,111,1
10691,2016-09-07,107,1
10692,2016-09-07,111,1
10693,2016-09-07,105,1
10694,2016-09-07,108,1
10695,2016-09-07,109,1
10696,2016-09-07,106,1
10697,2016-09-07,110,1
10698,2016-09-07,110,1
10699,2016-09-07,112,1
10700,2016-09-07,111,1
10701,2016-09-07,109,1
10702,2016-09-07,104,1
10705,2016-09-08,139,1
10706,2016-09-08,109,1
10710,2016-09-08,123,1
10721,2016-09-08,87,1
10781,2016-09-08,117,1
10782,2016-09-08,84,1
10786,2016-09-08,100,1
10824,2016-09-09,114,1
10825,2016-09-09,110,1
10826,2016-09-09,84,1
10828,2016-09-09,107,1
10829,2016-09-09,94,1
10831,2016-09-09,117,1
10832,2016-09-09,108,1
10833,2016-09-09,109,1
10834,2016-09-09,99,1
10845,2016-09-09,119,1
10846,2016-09-09,109,1
10847,2016-09-09,109,1
10850,2016-09-09,109,1
10851,2016-09-09,111,1
10852,2016-09-09,111,1
10853,2016-09-09,108,1
10854,2016-09-09,113,1
10855,2016-09-09,112,1
10856,2016-09-09,104,1
10857,2016-09-09,103,1
10858,2016-09-09,111,1
10859,2016-09-09,104,1
10860,2016-09-09,108,1
10866,2016-09-09,127,1
10867,2016-09-09,116,1
10868,2016-09-09,97,1
10869,2016-09-09,103,1
10870,2016-09-09,89,1
10871,2016-09-09,113,1
10872,2016-09-09,110,1
10874,2016-09-09,120,1
10875,2016-09-09,102,1
10876,2016-09-09,92,1
10877,2016-09-09,95,1
10878,2016-09-09,95,1
10909,2016-09-10,113,1
10910,2016-09-10,106,1
10911,2016-09-10,109,1
10912,2016-09-10,113,1
10913,2016-09-10,114,1
10914,2016-09-10,109,1
10915,2016-09-10,110,1
10916,2016-09-10,111,1
10917,2016-09-10,110,1
10925,2016-09-10,127,1
10926,2016-09-10,110,1
10927,2016-09-10,110,1
10928,2016-09-10,108,1
10929,2016-09-10,110,1
10930,2016-09-10,109,1
10931,2016-09-10,109,1
10932,2016-09-10,113,1
10933,2016-09-10,111,1
10934,2016-09-10,86,1
10941,2016-09-10,87,1
10944,2016-09-10,95,1
10954,2016-09-10,108,1
10956,2016-09-10,98,1
10965,2016-09-10,83,1
10991,2016-09-11,95,1
10994,2016-09-11,81,1
11005,2016-09-11,119,1
11006,2016-09-11,115,1
11008,2016-09-11,94,1
11009,2016-09-11,117,1
11010,2016-09-11,114,1
11023,2016-09-11,94,1
11028,2016-09-11,83,1
11029,2016-09-11,116,1
11030,2016-09-11,119,1
11034,2016-09-11,111,1
11036,2016-09-11,105,1
11039,2016-09-11,90,1
11043,2016-09-11,98,1
11046,2016-09-11,112,1
11047,2016-09-11,121,1
11048,2016-09-11,120,1
11049,2016-09-11,118,1
11050,2016-09-11,122,1
11051,2016-09-11,120,1
11052,2016-09-11,119,1
11053,2016-09-11,118,1
11054,2016-09-11,118,1
11055,2016-09-11,97,1
11056,2016-09-11,107,1
11057,2016-09-11,101,1
11060,2016-09-11,117,1
11064,2016-09-11,122,1
11065,2016-09-11,126,1
11068,2016-09-11,93,1
11072,2016-09-12,116,1
11073,2016-09-12,116,1
